Riparo Tagliente,,,,,,,,,,
Ciota Ciara,Italy,MIS 5,"Biostratigraphy, ESR, U-Series","*Ursus arctos, Panthera leo spelaea, Panthera pardis, Lynx lynx, Canis lupus, Vulpes vulpes, Meles meles, Martes martes, Rupicapra rupicapra, Cervus elphus, Stephanorhinus sp., Bos sp., Clethrionomis glareolus, Pliomys coronensis*","7106 stone artifacts (cores, flakes, retouched tools, debris, and unworked blanks)",*H. neanderthalensis*,45.71,8.311,,"*Angelucci et al. 2018, Berruti et al. 2024, Daffara et al. 2021*"
