Number,Site,Proposed Absolute Age (Ma),Lng,Lat
1,Xihoudu,~2.43,110.2917,34.6847
2,Shangchen,~2.12-1.26,109.4775,34.2258
3,Longgupo,2.2-1.4,109.0667,30.35
4,Nihewan Basin,~2.2,114.5,40
5,Renzidong,2.14-2.15,118.0961,31.0897
6,Yuanmou,~1.78-1.59,101.9166,25.75
7,Yunxian,~1.75-0.6,110.59,32.83
8,Mohui cave,1.69-1.29,107.0013,23.34
9,Liantian/Gongwangling,~1.63,109.48333,34.1833
10,Jianshi/Longgudong,1.51-1.04,110.0667,30.6333
11,Modjokerto,~1.43,112.5,-7.4
